#locus_id	chrom	start	end	strand	genome_build	l1_family	cancer_type	n_samples_detected	coordinate_confidence
L1SOI-chr2-143461773-143461774-+	chr2	143461773	143461774	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-158052566-158052567--	chr2	158052566	158052567	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-164926820-164926821--	chr2	164926820	164926821	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-167330574-167330575--	chr2	167330574	167330575	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-188508866-188508867--	chr2	188508866	188508867	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-194861290-194861291--	chr2	194861290	194861291	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-195126238-195126239--	chr2	195126238	195126239	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-197195490-197195491-+	chr2	197195490	197195491	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-208154968-208154969--	chr2	208154968	208154969	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-212308912-212308913-+	chr2	212308912	212308913	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-214878355-214878356--	chr2	214878355	214878356	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr20-007120638-007120639-+	chr20	7120638	7120639	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr20-024768306-024768307--	chr20	24768306	24768307	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr20-041130767-041130768-+	chr20	41130767	41130768	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr21-018437491-018437492-+	chr21	18437491	18437492	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr21-027005638-027005641--	chr21	27005638	27005641	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-026324201-026324202-+	chr3	26324201	26324202	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-035505261-035505262-+	chr3	35505261	35505262	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-056449613-056449614--	chr3	56449613	56449614	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-062398231-062398232--	chr3	62398231	62398232	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-070276092-070276093--	chr3	70276092	70276093	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-070643820-070643821-+	chr3	70643820	70643821	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-074688353-074688354-+	chr3	74688353	74688354	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-074802838-074802839--	chr3	74802838	74802839	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-076511323-076511324-+	chr3	76511323	76511324	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-078058314-078058315-+	chr3	78058314	78058315	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-082354331-082354332--	chr3	82354331	82354332	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-083477112-083477113--	chr3	83477112	83477113	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-084957313-084957324--	chr3	84957313	84957324	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-088389754-088389755--	chr3	88389754	88389755	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-088457911-088457912--	chr3	88457911	88457912	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-090102356-090102361--	chr3	90102356	90102361	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-094798599-094798600-+	chr3	94798599	94798600	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-103712337-103712338--	chr3	103712337	103712338	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-109949136-109949137--	chr3	109949136	109949137	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-148460777-148460778-+	chr3	148460777	148460778	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-157659235-157659236-+	chr3	157659235	157659236	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-164349316-164349317-+	chr3	164349316	164349317	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-173035144-173035145-+	chr3	173035144	173035145	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-181277693-181277694-+	chr3	181277693	181277694	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr4-005096577-005096578-+	chr4	5096577	5096578	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr4-019160411-019160412-+	chr4	19160411	19160412	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr4-047027553-047027554--	chr4	47027553	47027554	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr4-064518333-064518334-unknown	chr4	64518333	64518334	unknown	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr4-073115003-073115004-+	chr4	73115003	73115004	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr4-110252878-110252879-+	chr4	110252878	110252879	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr4-118981401-118981402--	chr4	118981401	118981402	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr4-132819092-132819093-+	chr4	132819092	132819093	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-029649187-029649188--	chr5	29649187	29649188	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-068111709-068111710-+	chr5	68111709	68111710	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-070813306-070813307--	chr5	70813306	70813307	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-084083589-084083590--	chr5	84083589	84083590	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-086975015-086975016-+	chr5	86975015	86975016	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-101238854-101238855--	chr5	101238854	101238855	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-113646300-113646301-+	chr5	113646300	113646301	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-163002880-163002929-+	chr5	163002880	163002929	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-023169691-023169692-+	chr6	23169691	23169692	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-055935397-055935398--	chr6	55935397	55935398	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-063379594-063379595--	chr6	63379594	63379595	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-068939168-068939169--	chr6	68939168	68939169	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-069531540-069531541--	chr6	69531540	69531541	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-070051509-070051510-+	chr6	70051509	70051510	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-125337752-125337753-+	chr6	125337752	125337753	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-131774404-131774405--	chr6	131774404	131774405	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-133930628-133930629--	chr6	133930628	133930629	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-147062167-147062168--	chr6	147062167	147062168	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr7-031205809-031205810-+	chr7	31205809	31205810	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr7-040088303-040088304--	chr7	40088303	40088304	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr7-106472230-106472231--	chr7	106472230	106472231	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr7-110025977-110025978-unknown	chr7	110025977	110025978	unknown	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr7-126947376-126947377--	chr7	126947376	126947377	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr7-144764791-144764792--	chr7	144764791	144764792	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-005950046-005950047--	chr8	5950046	5950047	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-012676055-012676910-unknown	chr8	12676055	12676910	unknown	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-014475678-014475679-+	chr8	14475678	14475679	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-051489439-051489440-+	chr8	51489439	51489440	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-069883766-069883767-+	chr8	69883766	69883767	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-072010289-072010290-+	chr8	72010289	72010290	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-076080659-076080660-+	chr8	76080659	76080660	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-078173640-078173641-+	chr8	78173640	78173641	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-084160280-084160281-+	chr8	84160280	84160281	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-084668028-084668029-+	chr8	84668028	84668029	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-088129888-088129889-+	chr8	88129888	88129889	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-088355986-088355988--	chr8	88355986	88355988	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-093706548-093706549-+	chr8	93706548	93706549	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-096684822-096684823--	chr8	96684822	96684823	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-105216316-105216317-+	chr8	105216316	105216317	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-108432979-108432980-+	chr8	108432979	108432980	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-114063103-114063104--	chr8	114063103	114063104	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-131896538-131896539--	chr8	131896538	131896539	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-134977551-134977552--	chr8	134977551	134977552	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr9-021975618-021975640-+	chr9	21975618	21975640	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr9-072304945-072304946-+	chr9	72304945	72304946	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr9-075470365-075470477-+	chr9	75470365	75470477	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr9-106186434-106186435-+	chr9	106186434	106186435	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr9-124813648-124813649-+	chr9	124813648	124813649	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chrX-046268908-046268909-+	chrX	46268908	46268909	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chrX-055970206-055970207-+	chrX	55970206	55970207	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chrX-064664972-064664973-+	chrX	64664972	64664973	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chrX-097128137-097128138--	chrX	97128137	97128138	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chrX-139282283-139282284--	chrX	139282283	139282284	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chrX-143104354-143104355-+	chrX	143104354	143104355	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chrX-146294818-146294819--	chrX	146294818	146294819	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-057140777-057140778-+	chr1	57140777	57140778	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-072513454-072513455-+	chr1	72513454	72513455	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-170411291-170411292-+	chr1	170411291	170411292	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-225355259-225355260--	chr1	225355259	225355260	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-054157214-054157215-+	chr10	54157214	54157215	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-011671188-011671189-+	chr11	11671188	11671189	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-026995092-026995093-+	chr11	26995092	26995093	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-044743004-044743005--	chr11	44743004	44743005	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-090529545-090529546--	chr11	90529545	90529546	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-091236886-091236887--	chr11	91236886	91236887	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr12-043986281-043986282-+	chr12	43986281	43986282	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr12-072432861-072432862--	chr12	72432861	72432862	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr13-025643917-025643918-+	chr13	25643917	25643918	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr13-061249056-061249057-+	chr13	61249056	61249057	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr13-063533412-063533413-+	chr13	63533412	63533413	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr14-040270525-040270526--	chr14	40270525	40270526	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr15-079907647-079907648--	chr15	79907647	79907648	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr16-073779280-073779281-+	chr16	73779280	73779281	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr16-082613671-082613672--	chr16	82613671	82613672	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr17-055904552-055904553--	chr17	55904552	55904553	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-045627943-045627944-+	chr2	45627943	45627944	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-122124326-122124327-+	chr2	122124326	122124327	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-155756021-155756028-+	chr2	155756021	155756028	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-166433178-166433179--	chr2	166433178	166433179	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr2-221293522-221293523--	chr2	221293522	221293523	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-062381439-062381441-+	chr3	62381439	62381441	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-099438561-099438562-+	chr3	99438561	99438562	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-102761885-102761886-+	chr3	102761885	102761886	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-116583414-116583415-+	chr3	116583414	116583415	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr3-146115799-146115800--	chr3	146115799	146115800	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr4-029246945-029246946--	chr4	29246945	29246946	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr4-034671785-034671786--	chr4	34671785	34671786	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr4-047159537-047159538-+	chr4	47159537	47159538	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr4-063755792-063755793-+	chr4	63755792	63755793	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr4-145382801-145382802-+	chr4	145382801	145382802	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr4-165342616-165342674-+	chr4	165342616	165342674	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-015268555-015268556-+	chr5	15268555	15268556	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-033240698-033240699-+	chr5	33240698	33240699	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-062202454-062202455--	chr5	62202454	62202455	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-083479312-083479313-+	chr5	83479312	83479313	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-091711238-091711242-+	chr5	91711238	91711242	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-161286737-161286738-+	chr5	161286737	161286738	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr5-161401594-161401595-+	chr5	161401594	161401595	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-040703986-040703987--	chr6	40703986	40703987	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-050183079-050183080--	chr6	50183079	50183080	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-069851956-069851957-+	chr6	69851956	69851957	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-101529098-101529099-+	chr6	101529098	101529099	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr6-123978173-123978174--	chr6	123978173	123978174	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr7-041286267-041286268-+	chr7	41286267	41286268	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr7-054533378-054533379--	chr7	54533378	54533379	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr7-054615288-054615304-+	chr7	54615288	54615304	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr7-084429111-084429112--	chr7	84429111	84429112	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr7-093150896-093150897-+	chr7	93150896	93150897	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-061614221-061614223--	chr8	61614221	61614223	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-073500108-073500109--	chr8	73500108	73500109	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-100274082-100274083-+	chr8	100274082	100274083	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr8-109738699-109738715-+	chr8	109738699	109738715	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr9-076133611-076133612-+	chr9	76133611	76133612	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr9-103640150-103640151-+	chr9	103640150	103640151	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr9-108271649-108271650--	chr9	108271649	108271650	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chrX-093045704-093045705--	chrX	93045704	93045705	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-014645611-014645612--	chr1	14645611	14645612	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-049708368-049708369-+	chr1	49708368	49708369	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-058190243-058190245--	chr1	58190243	58190245	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-061360754-061360759--	chr1	61360754	61360759	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-073965301-073965302-+	chr1	73965301	73965302	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-074248773-074248774-+	chr1	74248773	74248774	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-079360608-079360609-+	chr1	79360608	79360609	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-081377874-081377875-+	chr1	81377874	81377875	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-102571300-102571301--	chr1	102571300	102571301	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-105017465-105017466-+	chr1	105017465	105017466	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-106418788-106418789--	chr1	106418788	106418789	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-108860475-108860476-unknown	chr1	108860475	108860476	unknown	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-118988227-118988228-+	chr1	118988227	118988228	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-119635447-119635448-+	chr1	119635447	119635448	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-162731826-162731827--	chr1	162731826	162731827	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-163413634-163413635-+	chr1	163413634	163413635	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-165404559-165404560--	chr1	165404559	165404560	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-170875040-170875041-+	chr1	170875040	170875041	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-174380065-174380066--	chr1	174380065	174380066	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-176696307-176696308-+	chr1	176696307	176696308	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-177226824-177226825--	chr1	177226824	177226825	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-181752782-181752783--	chr1	181752782	181752783	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-186109066-186109067-+	chr1	186109066	186109067	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-186121630-186121641-+	chr1	186121630	186121641	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-187886721-187886722--	chr1	187886721	187886722	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-189090936-189090937-+	chr1	189090936	189090937	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-191886438-191886439--	chr1	191886438	191886439	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-191936789-191936790--	chr1	191936789	191936790	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-194118545-194118546--	chr1	194118545	194118546	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-194381047-194381048-+	chr1	194381047	194381048	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-195552861-195552862-+	chr1	195552861	195552862	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-197943080-197943081-unknown	chr1	197943080	197943081	unknown	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-199200513-199200514--	chr1	199200513	199200514	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-208556249-208556250-+	chr1	208556249	208556250	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-216427304-216427305-+	chr1	216427304	216427305	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-216901693-216901694-+	chr1	216901693	216901694	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-219823398-219823399-+	chr1	219823398	219823399	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-233272030-233272031-+	chr1	233272030	233272031	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-243875498-243875499-+	chr1	243875498	243875499	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr1-244194734-244194735-+	chr1	244194734	244194735	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-002104162-002104163--	chr10	2104162	2104163	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-002487703-002487704--	chr10	2487703	2487704	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-012260983-012260984--	chr10	12260983	12260984	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-015585717-015585718--	chr10	15585717	15585718	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-050563643-050563644--	chr10	50563643	50563644	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-060690057-060690058--	chr10	60690057	60690058	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-067027192-067027193-+	chr10	67027192	67027193	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-075351325-075351326-+	chr10	75351325	75351326	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-082498111-082498112--	chr10	82498111	82498112	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-087328347-087328350--	chr10	87328347	87328350	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-099730950-099730951--	chr10	99730950	99730951	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-107694305-107694306--	chr10	107694305	107694306	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-109934722-109934729-+	chr10	109934722	109934729	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-121810652-121810653--	chr10	121810652	121810653	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-125306309-125306310--	chr10	125306309	125306310	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr10-125927383-125927384-+	chr10	125927383	125927384	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-005575587-005575588-+	chr11	5575587	5575588	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-006984859-006984860-+	chr11	6984859	6984860	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-020934105-020934106--	chr11	20934105	20934106	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-025146750-025146751-+	chr11	25146750	25146751	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-026721520-026721521--	chr11	26721520	26721521	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-029913256-029913257--	chr11	29913256	29913257	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-031163419-031163420--	chr11	31163419	31163420	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-032428703-032428704-+	chr11	32428703	32428704	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-046055497-046055498-+	chr11	46055497	46055498	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-056098576-056098577-+	chr11	56098576	56098577	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-059972643-059972644-+	chr11	59972643	59972644	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-081629171-081629172-+	chr11	81629171	81629172	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-088959261-088959262-+	chr11	88959261	88959262	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-099552474-099552475--	chr11	99552474	99552475	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-100187745-100187746--	chr11	100187745	100187746	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-107511627-107511628-+	chr11	107511627	107511628	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-111039936-111039937-+	chr11	111039936	111039937	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-115053730-115053731--	chr11	115053730	115053731	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-121024763-121024764--	chr11	121024763	121024764	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr11-132027160-132027161--	chr11	132027160	132027161	-	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr12-006033811-006033822-+	chr12	6033811	6033822	+	hg19	L1HS	Eso-AdenoCA	1	high
L1SOI-chr12-016982162-016982163-+	chr12	16982162	16982163	+	hg19	L1HS	Eso-AdenoCA	1	high
